英文描述,中文描述,
"Attach a rope to a cable machine at waist height. Stand facing the cable machine with your feet shoulder-width apart. Bend your knees and lower your body into a squat position, keeping your back straight and chest up. Grasp the rope with an overhand grip, with your hands shoulder-width apart. Engage your core and pull the rope towards your body, squeezing your shoulder blades together. Keep your elbows close to your body and continue pulling until your hands reach your chest. Pause for a moment at the top of the movement, then slowly release the rope and extend your arms back to the starting position. Repeat for the desired number of repetitions.",将绳索连接到腰部高度的拉绳机上。站在拉索机前，双脚与肩同宽。弯曲膝盖，身体蹲下，保持背部挺直，胸部挺直。用上手握法握住绳索，双手与肩同宽。收紧核心，将绳索拉向身体，双肩胛骨紧贴。保持肘部靠近身体，继续拉直到双手触及胸部。动作顶端稍作停顿，然后缓慢松开绳索，双臂恢复到起始位置。重复至所需次数。,
"Attach a cable handle to a high pulley and stand facing away from the machine. Hold the handle with both hands and place it behind your head, keeping your elbows bent. Stand with your feet shoulder-width apart and your knees slightly bent. Keeping your abs engaged, exhale and crunch your torso down towards your knees, bringing your elbows towards your thighs. Pause for a moment at the bottom of the movement, then slowly return to the starting position. Repeat for the desired number of repetitions.",将钢索把手连接到高滑轮上，背对机器站立。双手握住把手，将其放在头后，肘部弯曲。双脚与肩同宽，膝盖微微弯曲。保持腹部收紧，呼气，将躯干向膝盖方向弯曲，肘部向大腿方向。动作结束时暂停片刻，然后缓慢回到起始位置。重复至所需次数。,
"Adjust the cable machine so that the pulldown bar is at a height above your head. Sit down on the seat and grab the pulldown bar with a wide overhand grip. Keep your back straight and your chest up as you lean back slightly. Pull the bar down towards your upper chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the bar back up to the starting position. Repeat for the desired number of repetitions.",调整拉绳机，使下拉杆高出你的头顶。坐在座位上，用宽大的上手握把抓住下拉杆。保持背部挺直，胸部抬起，同时稍微向后倾斜。将杠铃向下拉向上胸部，双肩胛骨紧紧收紧。在动作底部暂停片刻，然后慢慢将杠铃放回起始位置。重复到所需的重复次数。,
"Adjust the dip bars to a height that allows you to comfortably grip them. Stand between the bars and place your hands on each bar, slightly wider than shoulder-width apart. Jump up and straighten your arms, supporting your body weight on the bars. Bend your knees and cross your ankles behind you. Lower your body by bending your elbows, keeping your chest up and your shoulders down. Continue lowering until your shoulders are below your elbows or until you feel a stretch in your chest. Push through your palms and extend your elbows to raise your body back up to the starting position. Repeat for the desired number of repetitions.",把双杠调整到一个你能舒适握持的高度。站在两把杆之间，双手放在每根杆上，略宽于肩宽。跳起来，伸直手臂，支撑身体重量在单杠上。弯曲膝盖，双脚踝交叉在身后。通过弯曲肘部，保持胸部抬起，肩膀下垂，身体降低。继续下蹲，直到肩膀低于肘部，或感觉胸部有拉伸感。用手掌撑开，伸展肘部，将身体抬回起始位置。重复到所需的重复次数。,
"Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Hold a barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. Keeping your upper arms stationary, slowly lower the barbell behind your head by bending your elbows. Pause for a moment, then extend your arms back up to the starting position. Repeat for the desired number of repetitions.",平躺在长椅上，双脚平放在地面，头放在长凳末端。用过手握法握杠铃，双手与肩同宽，双臂直伸过胸前。保持上臂静止，慢慢弯曲肘部，将杠铃放到头后。暂停片刻，然后把手臂伸回起始位置。重复到所需的重复次数。,
"Sit on the stability ball with your feet flat on the ground and your back straight. Hold the exercise ball with both hands and extend your arms straight out in front of you. Slowly bring the exercise ball towards your chest, feeling a stretch in your chest muscles. Hold the stretch for a few seconds, then slowly return to the starting position. Repeat for the desired number of repetitions.",坐在稳定球上，双脚平放在地上，背部挺直。双手握住健身球，双臂伸直在身前。慢慢将健身球靠近胸部，感受胸部肌肉的拉伸。保持拉伸几秒钟，然后慢慢回到起始位置。重复到所需的重复次数。,
"Attach a D-handle to each side of a cable machine at shoulder height. Stand in the middle of the cable machine with your feet shoulder-width apart. Grasp the handles with an overhand grip and extend your arms out to the sides, palms facing forward. Keep a slight bend in your elbows and maintain a straight back throughout the exercise. Engage your shoulder muscles and squeeze your shoulder blades together as you pull the handles towards the front of your body. Pause for a moment at the peak of the movement, then slowly return to the starting position. Repeat for the desired number of repetitions.",在拉力机两侧肩高处装上一个D型手柄。站在拉力机中央，双脚与肩同宽。用过手握把手，双臂向两侧伸展，手掌朝前。保持肘部微微弯曲，整个动作保持背部挺直。拉动拉把手向身体前方时，收紧肩部肌肉，紧拢肩胛骨。动作达到顶点时暂停片刻，然后慢慢回到起始位置。重复至所需次数。,
"Stand with your feet shoulder-width apart. Take a step diagonally behind and across your body with your right foot, crossing it behind your left leg. Bend both knees as if you were curtsying, lowering your body towards the ground. Keep your torso upright and your weight on your front foot. Push through your front foot to return to the starting position. Repeat on the other side, stepping diagonally behind and across your body with your left foot.",双脚与肩同宽站立。右脚斜向身体后方并横跨一步，右叉放在左腿后方。双膝弯曲，像行屈膝礼一样，身体向下。保持躯干直立，重心放在前脚上。用前脚用力回归起始位置。另一侧重复，左脚斜向身后跨步。,
"Sit on a bench with back support and hold a dumbbell in each hand at shoulder level, palms facing your body and elbows bent. Press the dumbbells upward until your arms are fully extended and your palms are facing forward. Rotate your wrists as you lift, so that your palms end up facing forward at the top of the movement. Pause for a moment at the top, then slowly lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",坐在有背部支撑的长凳上，双手各握一个哑铃，保持在肩膀高度，手掌朝向身体，肘部弯曲。将哑铃向上按压，直到双臂完全伸展，手掌朝前。举起时旋转手腕，使动作顶端手掌朝前。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复至所需次数。,
"Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing forward. Take a step forward with your right foot, bending your right knee and lowering your body into a lunge position. As you lunge forward, curl the dumbbells up towards your shoulders, keeping your elbows close to your body. At the bottom of the lunge, rotate your torso to the right, as if you were bowling a ball. Reverse the motion, stepping back with your right foot and returning to the starting position while lowering the dumbbells back down. Repeat the lunge and curl motion, this time rotating your torso to the left. Continue alternating sides for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个哑铃，手掌朝前。右脚向前迈一步，弯曲右膝，身体下垂进入弓步姿势。向前冲刺时，将哑铃向肩膀弯曲，肘部紧贴身体。弓步底部，将躯干向右旋转，就像投球一样。反向移动，右脚后退，回到起始位置，同时将哑铃放下。重复弓步和弯举动作，这次将躯干向左旋转。继续左右交替，完成所需的重复次数。,
"Start in a standing position with your feet shoulder-width apart and a dumbbell in each hand. Lower your body into a squat position, placing the dumbbells on the ground in front of you. Kick your feet back into a push-up position, keeping your body in a straight line. Perform a push-up, bending your elbows and lowering your chest towards the ground. Jump your feet back towards your hands, landing in a squat position. Stand up explosively, lifting the dumbbells off the ground and bringing them to your shoulders. Press the dumbbells overhead, fully extending your arms. Lower the dumbbells back to your shoulders and repeat the entire sequence for the desired number of repetitions.",从站立姿势开始，双脚与肩同宽，双手各握一个哑铃。身体降低到深蹲姿势，哑铃放在你面前的地面上。脚向后踢成俯卧撑姿势，保持身体直线。做俯卧撑，弯曲肘部，胸部向下贴地。双脚跳回双手方向，落地为深蹲姿势。爆发力站起，将哑铃从地面抬起并带到肩膀上。将哑铃压过头顶，双臂完全伸展。将哑铃放回肩膀，重复完成所需的重复次数。,
"Stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder height with your palms facing down. Keeping your core engaged and your back straight, press the dumbbells straight up overhead until your arms are fully extended. Rotate your wrists so that your palms are facing forward. Lower the dumbbells back down to shoulder height, rotating your wrists back to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个哑铃，双手掌心朝下。保持核心收紧，背部挺直，哑铃直按上方，直到双臂完全伸展。旋转手腕，使手掌朝前。将哑铃降回肩高，手腕旋转回起始位置。重复至所需次数。,
"Lie on a decline bench with your feet secured and your head lower than your hips. Hold a dumbbell in each hand with your palms facing each other and your arms extended above your chest. Lower the dumbbells to the sides of your chest, keeping your elbows slightly bent. Press the dumbbells back up to the starting position, fully extending your arms. Repeat for the desired number of repetitions.",躺在下坡凳上，双脚稳固，头部低于臀部。双手各握一个哑铃，手掌相对，双臂伸展于胸前。将哑铃放到胸侧，肘部微微弯曲。将哑铃按回起始位置，双臂完全伸展。重复至所需次数。,
"Attach a cable to a low pulley and stand facing away from the machine. Place the cable around your ankle and stand with your feet shoulder-width apart. Keep your core engaged and your back straight throughout the exercise. Slowly extend your leg straight back, squeezing your glutes at the top of the movement. Pause for a moment, then return to the starting position. Repeat for the desired number of repetitions. Switch sides and repeat with the other leg.",将钢索连接到低滑轮，背对机器站立。将钢索绕在脚踝上，双脚与肩同宽站立。在整个动作过程中保持核心收紧，背部挺直。缓慢地将腿伸直，在动作顶端收紧臀肌。稍作停顿，然后回到起始位置。重复到所需的次数。换侧，用另一条腿重复。,
"Sit on an exercise ball and hold a dumbbell in each hand. Walk your feet forward and roll your body down until your head, neck, and upper back are supported by the ball. Extend your arms straight up above your chest, palms facing each other. Bend your elbows slightly and lower your arms out to the sides in a wide arc until you feel a stretch in your chest. Pause for a moment, then reverse the movement and squeeze your chest muscles as you bring the dumbbells back to the starting position. Repeat for the desired number of repetitions.",坐在健身球上，双手各握一个哑铃。双脚向前走，身体向下滚动，直到头部、颈部和上背部被哑铃支撑。双臂直伸至胸前，掌心相对。肘部微微弯曲，双臂向两侧展开，形成一个宽弧线，直到感觉胸口有拉伸感。暂停片刻，然后反向收紧胸肌，将哑铃带回起始位置。重复至所需次数。,
"Stand with your feet shoulder-width apart, holding a dumbbell vertically against your chest with both hands. Keeping your chest up and core engaged, lower your body down into a squat position by pushing your hips back and bending your knees. Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. Pause for a moment at the bottom, then push through your heels to return to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手垂直握住哑铃贴胸口。保持胸部挺胸、核心发力，通过向后推臀部和弯曲膝盖，将身体下沉进入深蹲姿势。继续放下，直到大腿与地面平行，或尽可能低。在底部稍作停顿，然后用脚跟蹬地回到起始位置。重复到所需的重复次数。,
"Stand up straight with a dumbbell in each hand, palms facing your torso. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position. Now, keeping the upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Then, inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the recommended amount of repetitions.",站直，双手各握一个哑铃，手掌朝向躯干。保持肘部靠近躯干，旋转手掌直到朝前。这就是你的起始姿势。现在保持上臂不动，呼气并弯曲哑铃，同时收缩肱二头肌。继续举起哑铃，直到肱二头肌完全收缩，哑铃与肩平。保持收缩姿势短暂停顿，同时收紧肱二头肌。然后吸气，慢慢将哑铃放回起始位置。重复至推荐次数。,
"Stand up straight with a dumbbell in each hand, palms facing your torso. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position. Now, keeping the upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Then, inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the recommended amount of repetitions.",站直，双手各握一个哑铃，手掌朝向躯干。保持肘部靠近躯干，旋转手掌直到朝前。这就是你的起始姿势。现在保持上臂不动，呼气并弯曲哑铃，同时收缩肱二头肌。继续举起哑铃，直到肱二头肌完全收缩，哑铃与肩平。保持收缩姿势短暂停顿，同时收紧肱二头肌。然后吸气，慢慢将哑铃放回起始位置。重复至推荐次数。,
"Sit on an incline bench with a dumbbell in each hand, palms facing your torso and arms fully extended. Keep your back against the bench and your feet flat on the floor. While keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",坐在斜凳上，双手各握一个哑铃，手掌朝向躯干，双臂完全伸展。背部贴着长凳，双脚平放在地板上。保持上臂静止的同时呼气并弯曲哑铃，同时收缩肱二头肌。继续举重，直到肱二头肌完全收缩，哑铃与肩平。保持收缩姿势短暂停顿，同时收紧肱二头肌。吸气，慢慢开始将哑铃放回起始位置。重复至所需次数。,
"Lie flat on your back with your knees bent and feet flat on the ground. Cross your arms over your chest. Engaging your abs, lift your upper body off the ground towards your knees. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions.",平躺，膝盖弯曲，双脚平放在地上。双臂交叉放在胸前。用力腹部，将上半身抬离地面，向膝盖方向。在顶部稍作停顿，然后慢慢将上半身放回起始位置。重复到所需的次数。,
"Adjust the bench to a comfortable position on the smith machine. Lie down on the bench with your feet flat on the ground. Grasp the barbell with a wide grip, slightly wider than shoulder-width apart. Unrack the barbell and lower it slowly towards your chest, keeping your elbows out to the sides. Pause for a moment when the barbell touches your chest. Push the barbell back up to the starting position, fully extending your arms. Repeat for the desired number of repetitions.",将长凳调整到史密斯机上舒适的位置。双脚平放在地上躺下。用宽握力握住杠铃，略宽于肩宽。卸下杠铃，缓慢地向胸部放下，肘部向两侧张开。当杠铃触及胸部时暂停片刻。将杠铃推回起始位置，双臂完全伸展。重复至所需次数。,
"Adjust the smith machine bar to a height that allows you to stand with your feet flat on the ground and your shoulders under the bar. Position yourself under the bar with your feet shoulder-width apart and your toes pointing forward. Place your hands on the bar for stability. Engage your calves and slowly raise your heels off the ground, lifting your body up onto your toes. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions.",调整史密斯机杠铃的高度，让你能双脚平放在地上，肩膀在杠铃下方。双脚与肩同宽，脚趾朝前，站在杠铃下方。双手放在杠铃上以保持稳定。收紧小腿，缓慢抬起脚跟，踮起脚尖。在顶端稍作停顿，然后慢慢将脚跟放回起始位置。重复到所需的重复次数。,
"Stand facing a cable machine with your feet shoulder-width apart. Grasp the cable handle with an underhand grip, palms facing up. Keep your elbows close to your sides and your upper arms stationary. Exhale and curl the cable handle towards your shoulders, contracting your biceps. Pause for a moment at the top of the movement, squeezing your biceps. Inhale and slowly lower the cable handle back to the starting position. Repeat for the desired number of repetitions.",站在一台滑索机前，双脚与肩同宽。用下手握住拉索把手，手掌朝上。保持肘部靠近身体两侧，上臂保持静止。呼气，将拉索把手向肩膀弯曲，收缩肱二头肌。动作结束时暂停片刻，收紧肱二头肌。吸气，缓慢将拉索手柄放回起始位置。重复到所需的重复次数。,
"Sit on an incline bench with a dumbbell in each hand, resting on your thighs. Lean back on the bench and use your thighs to help raise the dumbbells to shoulder height, palms facing forward. Once at shoulder height, rotate your wrists so that the palms of your hands are facing forward. Push the dumbbells up with your chest and shoulders, extending your arms fully. Lower the dumbbells back down to the starting position, keeping your elbows slightly bent. Repeat for the desired number of repetitions, alternating arms.",坐在斜凳上，双手各握一只哑铃，双手放在大腿上。向后靠在长凳上，用大腿帮助将哑铃抬到肩膀高度，手掌朝前。达到肩高后，旋转手腕，使手掌朝前。用胸部和肩膀将哑铃向上推，双臂完全伸展。将哑铃放回起始位置，保持肘部微微弯曲。重复至所需次数，交替双臂。,
"Sit on an incline bench with a dumbbell in each hand, palms facing each other. Rest your upper arms on the bench, allowing your elbows to hang down and your palms to face forward. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",坐在斜凳上，双手各握一个哑铃，手掌相对。将上臂放在长凳上，肘部下垂，手掌朝前。保持上臂不动，呼气并弯曲哑铃，同时收缩肱二头肌。继续抬起哑铃，直到肱二头肌完全收缩，哑铃与肩平。保持收缩姿势短暂停顿，同时收紧肱二头肌。吸气，慢慢将哑铃放回起始位置。重复至所需次数。,
"Set an incline bench to a 45-degree angle and sit on it with a dumbbell in each hand, palms facing each other. Lie back on the bench and press the dumbbells up to the starting position, directly above your chest, with your arms extended. Lower the dumbbells out to the sides in a wide arc until you feel a stretch in your chest. As you lower the dumbbells, rotate your wrists so that your palms face forward at the bottom of the movement. Reverse the motion and bring the dumbbells back up to the starting position, squeezing your chest muscles together at the top. Repeat for the desired number of repetitions.",将一个倾斜的长凳摆成45度角，双手各握一个哑铃，双手相对坐下。躺在长凳上，将哑铃按到起始位置，正好在胸口上方，双臂伸展。将哑铃向两侧放下，形成一个宽弧线，直到你感觉胸口有拉伸感。放下哑铃时，旋转手腕，使动作结束时手掌朝前。反向动作，将哑铃收回起始位置，胸部肌肉在顶部收紧。重复至所需次数。,
"Stand with your feet shoulder-width apart and hold a dumbbell in each hand. Bend your knees slightly and hinge forward at the hips, keeping your back straight. Bring your upper arms close to your sides, with your elbows bent at a 90-degree angle. Extend your arms straight back, squeezing your triceps at the top of the movement. Pause for a moment, then slowly lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个哑铃。膝盖微微弯曲，臀部向前折叠，保持背部挺直。将上臂靠近身体两侧，肘部弯曲成90度角。双臂向后伸直，动作顶端收紧三头肌。暂停片刻，然后慢慢将哑铃放回起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing forward. Take a step forward with your right foot, lowering your body into a lunge position. Your right knee should be bent at a 90-degree angle and your left knee should be hovering just above the ground. As you lunge forward, simultaneously curl the dumbbells towards your shoulders, keeping your elbows close to your body. Pause for a moment at the bottom of the lunge, then push through your right heel to return to the starting position, lowering the dumbbells back down to your sides. Repeat the lunge and bicep curl on the opposite side, stepping forward with your left foot. Continue alternating sides for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个哑铃，手掌朝前。右脚向前迈出一步，身体下沉进入弓步姿势。你的右膝应弯曲成90度角，左膝应悬浮在地面上方。向前冲刺时，同时将哑铃向肩膀弯曲，肘部紧贴身体。在弓步底部暂停片刻，然后用右脚跟推回起始位置，哑铃放回身体两侧。在相反侧重复弓步和肱二头肌弯举，左脚向前迈步。继续左右交替练习，达到所需的重复次数。,
"Lie flat on a bench with a dumbbell in each hand, palms facing each other and arms extended straight up. Lower the dumbbells to the sides of your chest, keeping your elbows at a 90-degree angle. Press the dumbbells back up to the starting position, fully extending your arms. Repeat for the desired number of repetitions.",平躺在长凳上，双手各握一个哑铃，手掌相对，双臂直伸。将哑铃放到胸部两侧，保持肘部呈90度角。将哑铃按回起始位置，双臂完全伸展。重复到所需的重复次数。,
"Sit on the ground with your legs extended in front of you. Place your hands on the ground behind you, fingers pointing towards your body. Engage your core and slowly lean back, keeping your back straight. Continue leaning back until you feel a stretch in your spine. Hold the stretch for a few seconds, then slowly return to the starting position. Repeat for the desired number of repetitions.",坐在地上，双腿伸直在前。双手放在身后地面上，手指指向身体。收紧核心，慢慢向后倾斜，保持背部挺直。继续向后靠，直到感觉脊柱被拉伸。保持拉伸几秒钟，然后慢慢回到起始位置。重复到所需的重复次数。,
"Sit on the ground with your legs extended in front of you. Bend your knees and place your feet flat on the ground, hip-width apart. Place your hands behind your head with your elbows pointing outwards. Engage your abs and slowly twist your torso to the right, bringing your right elbow towards your left knee. Pause for a moment at the end of the twist, then slowly return to the starting position. Repeat the twist to the left side, bringing your left elbow towards your right knee. Continue alternating sides for the desired number of repetitions.",坐在地上，双腿向前伸直。弯曲膝盖，双脚平放在地上，与臀部同宽。双手放在头后，肘部朝外。收紧腹肌，缓慢将躯干向右扭转，右肘朝左膝方向。扭转结束时暂停片刻，然后慢慢回到起始位置。重复左侧扭转，左肘向右膝盖方向。继续交替，达到所需的重复次数。,
"Stand facing a cable machine with your feet shoulder-width apart. Hold onto the cable machine for support. Lift one leg off the ground and balance on the other leg. Slowly raise your heel off the ground, lifting your body up onto your toes. Pause for a moment at the top, then slowly lower your heel back down to the starting position. Repeat for the desired number of repetitions, then switch legs.",站在一台有线电视机前，双脚与肩同宽。扶着电缆机支撑。抬起一条腿，另一条腿保持平衡。慢慢抬起脚跟，抬起身体踮起脚尖。在顶端稍作停顿，然后慢慢将脚跟放回起始位置。重复到想要的次数，然后换腿。,
"Lie face down on the floor with a dumbbell in each hand, palms facing each other. Extend your arms straight out in front of you, keeping a slight bend in your elbows. Engaging your shoulder muscles, lift your arms up and out to the sides, squeezing your shoulder blades together. Pause for a moment at the top, then slowly lower your arms back down to the starting position. Repeat for the desired number of repetitions.",面朝下躺在地上，双手各握一个哑铃，手掌相对。双臂伸直，肘部保持轻微弯曲。用力肩部肌肉，抬起双臂向两侧伸展，双肩胛骨紧紧收紧。在顶部稍作停顿，然后慢慢将手臂放下回到起始位置。重复到所需的重复次数。,
"Lie face down on a flat bench with a dumbbell in each hand, palms facing inwards. Extend your arms straight down towards the floor, keeping a slight bend in your elbows. Engaging your back muscles, lift the dumbbells up towards your chest, squeezing your shoulder blades together. Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions.",面朝下躺在平坦的长凳上，双手各握一个哑铃，手掌朝内。双臂直伸向地面，肘部保持轻微弯曲。调动背部肌肉，将哑铃抬向胸前，将肩胛骨紧紧挤压。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart, holding a dumbbell in one hand with your palm facing your body. Bend your knees slightly and hinge forward at the hips, keeping your back straight and your core engaged. Let the dumbbell hang straight down towards the floor, with your arm fully extended. Pull the dumbbell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together. Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position. Repeat for the desired number of repetitions, then switch sides.",双脚与肩同宽站立，一手握着哑铃，手掌朝向身体。膝盖微微弯曲，臀部向前折叠，保持背部挺直，核心收紧。让哑铃直悬向地面，手臂完全伸展。将哑铃拉向胸口，肘部靠近身体，肩胛骨紧贴。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复到想要的次数，然后换边。,
"Stand with your feet shoulder-width apart and hold a dumbbell in one hand, with your palm facing your body. Place your other hand on a stable surface, such as a bench or wall, for support. Keep your back straight and engage your core. Raise the dumbbell out to the side, keeping your arm straight and your palm facing down. Continue lifting until your arm is parallel to the ground. Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position. Repeat for the desired number of repetitions, then switch sides.",双脚与肩同宽站立，一手握着哑铃，手掌朝向身体。将另一只手放在稳定的表面上，比如长凳或墙壁，作为支撑。保持背部挺直，核心肌群发力。将哑铃向一侧抬起，保持手臂伸直，手掌朝下。继续抬起，直到手臂与地面平行。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复到想要的次数，然后换边。,
"Stand with your feet shoulder-width apart and hold a dumbbell in one hand at shoulder level, palm facing forward. Press the dumbbell upward until your arm is fully extended overhead. Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch to the other arm.",双脚与肩同宽站立，一手握着哑铃，肩平，手掌朝前。将哑铃向上按压，直到手臂完全伸展过头顶。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复到所需次数，然后切换到另一只手臂。,
"Sit on a preacher curl bench and hold a dumbbell in one hand with an underhand grip. Rest your upper arm on the preacher bench pad, allowing your arm to fully extend. Curl the dumbbell up towards your shoulder, keeping your upper arm stationary. At the top of the curl, rotate your wrist so that your palm faces up. Slowly lower the dumbbell back down to the starting position, rotating your wrist back to the starting position. Repeat for the desired number of repetitions, then switch arms.",坐在牧师弯举凳上，一只手握着哑铃，反手握法。将上臂放在讲道者长凳垫上，让手臂完全伸展。将哑铃向肩膀方向弯曲，保持上臂静止。在弯举顶端，旋转手腕，使手掌朝上。慢慢将哑铃放回起始位置，同时将手腕旋转回起始位置。重复到所需次数，然后换手臂。,
"Sit on a bench with a dumbbell in one hand and your arm extended over the bench, palm facing up. Keep your upper arm stationary and curl the dumbbell towards your shoulder, keeping your wrist in a neutral position. Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch arms.",坐在长椅上，一只手拿着哑铃，手臂伸过长凳，手掌朝上。保持上臂不动，哑铃向肩膀弯曲，手腕保持中立位置。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复到所需次数，然后换手臂。,
"Sit on a bench with your feet flat on the ground and hold a dumbbell in one hand, palm facing down. Rest your forearm on the bench with your wrist hanging off the edge. Slowly curl your wrist upwards, bringing the dumbbell towards your forearm. Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position. Repeat for the desired number of repetitions, then switch to the other arm.",坐在长椅上，双脚平放在地上，一只手握着哑铃，手掌朝下。前臂放在长凳上，手腕悬在边缘。慢慢将手腕向上弯曲，将哑铃靠近前臂。在顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复到所需次数，然后切换到另一只手臂。,
"Stand with your feet shoulder-width apart and knees slightly bent. Hold a dumbbell in each hand with your palms facing your body. Bend forward at the waist, keeping your back straight and your core engaged. Extend your arms straight down towards the floor, with a slight bend in your elbows. Raise the dumbbells out to the sides, squeezing your shoulder blades together. Pause for a moment at the top, then slowly lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽，膝盖微微弯曲。双手各握一个哑铃，手掌朝向身体。腰部前倾，保持背部挺直，核心收紧。双臂伸直向地面，肘部略微弯曲。将哑铃向两侧抬起，双肩胛骨紧贴。在哑铃顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复至所需次数。,
"Stand up straight with a dumbbell in each hand, palms facing your body and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",站直，双手各握一个哑铃，手掌朝向身体，双臂完全伸展。保持上臂静止，呼气并弯曲哑铃，同时收缩肱二头肌。继续抬起哑铃，直到肱二头肌完全收缩，哑铃与肩平。保持收缩姿势短暂停顿，同时收紧肱二头肌。吸气，慢慢开始将哑铃放回起始位置。重复至所需次数。,
"Sit on a bench with a dumbbell in each hand, palms facing inwards. Bend forward at the waist, keeping your back straight and parallel to the ground. Extend one arm straight back, keeping it close to your body, until your arm is fully extended. Pause for a moment, then slowly lower the dumbbell back to the starting position. Repeat with the other arm. Continue alternating arms for the desired number of repetitions.",坐在长凳上，双手各握一个哑铃，手掌朝内。腰部前倾，保持背部挺直且与地面平行。一只手臂向后伸直，保持靠近身体，直到手臂完全伸展。暂停片刻，然后慢慢将哑铃放回起始位置。另一只手臂重复。继续交替双臂，完成所需的重复次数。,
"Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand. Bend forward at the waist, keeping your back straight and your head up. Extend your arms straight back, keeping your elbows close to your head. Pause for a moment, then slowly lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",坐在长椅上，双脚平放在地上，双手各握一个哑铃。腰部前倾，保持背部挺直，头抬起。双臂向后伸直，肘部靠近头部。暂停片刻，然后慢慢将哑铃放回起始位置。重复到所需的重复次数。,
"Sit on a bench with a dumbbell in each hand, palms facing your torso and arms extended straight down. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",坐在长凳上，双手各握一个哑铃，手掌朝向躯干，双臂直伸向下。保持上臂静止，呼气并弯曲哑铃，同时收缩肱二头肌。继续抬起哑铃，直到肱二头肌完全收缩，哑铃与肩平。保持收缩姿势短暂停顿，同时收紧肱二头肌。吸气，慢慢将哑铃放回起始位置。重复至所需次数。,
